iter	Passed	Remaining
0	157	157149
1	159	79391
2	160	53440
3	162	40484
4	164	32748
5	166	27580
6	168	23882
7	170	21117
8	172	18966
9	174	17236
10	175	15817
11	177	14637
12	179	13640
13	181	12788
14	184	12101
15	195	12015
16	197	11397
17	198	10842
18	200	10339
19	202	9899
20	203	9496
21	205	9138
22	207	8833
23	210	8558
24	212	8292
25	214	8031
26	216	7785
27	217	7556
28	219	7343
29	221	7161
30	223	6976
31	224	6800
32	226	6636
33	228	6484
34	229	6341
35	231	6201
36	233	6075
37	235	5961
38	237	5843
39	238	5732
40	240	5633
41	242	5529
42	244	5432
43	245	5339
44	250	5315
45	253	5260
46	255	5182
47	257	5111
48	259	5037
49	261	4969
50	263	4903
51	265	4845
52	267	4778
53	268	4711
54	270	4648
55	272	4588
56	273	4530
57	275	4472
58	276	4415
59	278	4365
60	280	4318
61	282	4276
62	284	4226
63	285	4178
64	287	4132
65	288	4085
66	290	4042
67	291	3988
68	292	3950
69	295	3922
70	297	3887
71	298	3847
72	300	3809
73	301	3773
74	303	3737
75	304	3701
76	305	3666
77	307	3631
78	309	3610
79	311	3582
80	313	3555
81	315	3531
82	317	3507
83	319	3481
84	320	3451
85	323	3441
86	325	3411
87	327	3390
88	329	3369
89	331	3347
90	333	3326
91	334	3304
92	338	3304
93	340	3282
94	342	3258
95	343	3234
96	345	3211
97	346	3188
98	348	3167
99	349	3144
100	350	3122
101	351	3095
102	354	3089
103	356	3069
104	358	3053
105	359	3035
106	361	3016
107	362	2997
108	364	2979
109	366	2961
110	369	2959
111	371	2942
112	373	2928
113	375	2916
114	377	2901
115	378	2882
116	379	2867
117	381	2851
118	384	2846
119	386	2836
120	388	2820
121	389	2806
122	391	2791
123	394	2784
124	396	2773
125	400	2781
126	402	2767
127	403	2749
128	405	2736
129	406	2723
130	408	2710
131	410	2696
132	411	2681
133	413	2674
134	415	2662
135	417	2649
136	418	2636
137	419	2621
138	421	2608
139	422	2595
140	423	2582
141	425	2573
142	427	2563
143	429	2552
144	430	2541
145	432	2529
146	433	2517
147	435	2506
148	436	2495
149	438	2485
150	441	2484
151	444	2478
152	446	2474
153	449	2469
154	454	2478
155	457	2473
156	459	2467
157	461	2460
158	463	2452
159	466	2447
160	468	2441
161	471	2438
162	473	2430
163	475	2423
164	477	2415
165	479	2407
166	481	2399
167	482	2390
168	487	2398
169	489	2390
170	491	2383
171	493	2376
172	495	2368
173	497	2361
174	501	2363
175	503	2355
176	505	2348
177	507	2342
178	509	2335
179	511	2327
180	511	2315
181	515	2316
182	518	2315
183	521	2314
184	524	2308
185	525	2301
186	531	2311
187	533	2305
188	535	2298
189	537	2291
190	539	2283
191	540	2275
192	542	2268
193	547	2273
194	549	2267
195	551	2261
196	553	2255
197	555	2250
198	557	2242
199	560	2242
200	563	2240
201	565	2234
202	567	2227
203	569	2220
204	570	2213
205	572	2206
206	576	2206
207	578	2201
208	580	2195
209	581	2188
210	583	2181
211	584	2174
212	586	2167
213	588	2161
214	591	2158
215	593	2152
216	594	2146
217	596	2140
218	598	2133
219	599	2126
220	601	2119
221	604	2119
222	606	2114
223	608	2108
