iter	Passed	Remaining
0	166	166544
1	176	88008
2	191	63641
3	206	51443
4	221	44143
5	231	38281
6	251	35608
7	262	32591
8	277	30530
9	289	28634
10	293	26425
11	297	24502
12	302	22963
13	305	21484
14	307	20172
15	309	19019
16	311	18000
17	315	17186
18	317	16370
19	318	15628
20	320	14959
21	322	14349
22	324	13790
23	326	13280
24	329	12866
25	332	12440
26	334	12039
27	336	11670
28	338	11332
29	340	11006
30	342	10709
31	345	10436
32	346	10161
33	348	9904
34	350	9657
35	352	9426
36	353	9206
37	355	8998
38	358	8833
39	360	8643
40	361	8465
41	363	8295
42	365	8131
43	367	7976
44	368	7823
45	370	7677
46	373	7567
47	375	7439
48	376	7310
49	378	7185
50	379	7066
51	381	6950
52	382	6840
53	384	6732
54	387	6654
55	389	6558
56	391	6468
57	392	6377
58	394	6286
59	395	6199
60	397	6115
61	398	6032
62	400	5955
63	402	5892
64	404	5819
65	406	5747
66	407	5676
67	409	5607
68	410	5540
69	412	5474
70	413	5412
71	415	5359
72	417	5304
73	419	5249
74	421	5194
75	422	5140
76	424	5089
77	426	5036
78	427	4984
79	429	4934
80	432	4902
81	433	4858
82	434	4805
83	436	4760
84	438	4719
85	440	4680
86	442	4641
87	443	4601
88	447	4576
89	448	4536
90	450	4496
91	451	4457
92	453	4420
93	454	4382
94	456	4348
95	458	4318
96	462	4302
97	463	4269
98	465	4235
99	466	4202
100	468	4170
101	470	4138
102	471	4107
103	473	4078
104	476	4063
105	478	4034
106	480	4006
107	481	3977
108	483	3948
109	484	3921
110	486	3894
111	487	3868
112	489	3846
113	491	3821
114	493	3800
115	495	3779
116	497	3755
117	499	3734
118	501	3716
119	505	3710
120	508	3696
121	510	3673
122	513	3657
123	514	3637
124	516	3616
125	518	3594
126	521	3583
127	523	3569
128	526	3551
129	528	3536
130	563	3736
131	565	3721
132	569	3713
133	572	3697
134	574	3682
135	577	3667
136	580	3654
137	583	3647
138	587	3639
139	590	3625
140	620	3782
141	622	3763
142	625	3749
143	628	3735
144	632	3730
145	635	3716
146	660	3833
147	665	3832
148	668	3817
149	670	3800
150	674	3793
151	677	3779
152	683	3785
153	686	3773
154	702	3831
155	704	3813
156	706	3795
157	708	3777
158	712	3767
159	714	3749
160	715	3727
161	717	3709
162	718	3691
163	721	3678
164	723	3662
165	727	3653
166	729	3636
167	730	3618
168	732	3602
169	734	3585
170	736	3568
171	737	3552
172	740	3538
173	742	3524
174	744	3507
175	745	3491
176	747	3474
177	748	3458
178	750	3442
179	752	3426
180	753	3410
181	756	3401
182	758	3386
183	760	3370
184	761	3355
185	763	3339
186	764	3324
187	766	3309
188	767	3295
189	770	3285
190	772	3271
191	773	3256
192	775	3242
193	776	3227
194	778	3213
195	780	3199
196	781	3185
197	783	3171
198	786	3163
199	787	3150
200	789	3137
201	790	3123
202	792	3110
203	793	3096
204	795	3083
205	796	3070
206	798	3057
207	801	3050
208	802	3038
209	804	3026
210	806	3014
211	807	3001
212	808	2988
213	810	2976
214	811	2964
215	813	2951
216	816	2947
217	818	2935
218	819	2923
219	821	2911
220	822	2899
221	824	2888
222	825	2876
223	827	2865
224	829	2855
225	831	2846
226	832	2836
227	834	2825
228	836	2814
229	837	2804
230	839	2794
231	840	2783
232	842	2773
233	845	2767
234	847	2757
235	848	2747
236	850	2736
237	851	2726
238	852	2715
239	854	2705
240	855	2695
241	857	2685
242	860	2680
243	862	2671
244	863	2661
245	865	2652
246	866	2641
247	868	2632
248	869	2622
249	871	2613
250	872	2603
251	875	2599
252	877	2589
253	878	2580
254	880	2571
255	881	2561
256	883	2552
257	884	2543
258	886	2535
259	890	2534
260	892	2527
261	894	2520
262	897	2514
263	899	2507
264	902	2502
265	908	2506
266	910	2499
267	912	2492
268	915	2486
269	918	2482
270	928	2498
271	932	2496
272	938	2499
273	941	2495
274	946	2495
275	948	2489
276	952	2485
277	954	2478
278	955	2470
279	957	2462
280	959	2455
281	961	2447
282	962	2439
283	964	2431
284	967	2426
285	968	2418
286	970	2411
287	972	2403
288	974	2396
289	975	2389
290	977	2381
291	978	2373
292	981	2368
293	983	2361
294	984	2353
295	986	2346
296	988	2339
297	990	2332
298	991	2325
299	993	2318
300	996	2313
301	997	2306
302	999	2298
303	1000	2291
304	1002	2284
305	1004	2278
306	1006	2271
307	1007	2264
308	1009	2257
309	1011	2252
310	1013	2245
311	1015	2238
312	1017	2232
313	1018	2225
314	1020	2218
315	1022	2212
316	1023	2205
317	1026	2201
318	1028	2195
319	1029	2188
320	1033	2185
321	1035	2180
322	1037	2174
323	1041	2172
324	1043	2166
325	1045	2160
326	1046	2154
327	1048	2147
328	1049	2141
329	1051	2134
330	1053	2128
331	1056	2125
332	1058	2119
333	1059	2112
334	1061	2106
335	1062	2100
336	1064	2093
337	1065	2087
338	1067	2081
339	1069	2075
340	1071	2070
341	1073	2065
342	1075	2059
343	1077	2054
344	1080	2050
345	1082	2045
346	1085	2042
347	1087	2037
348	1090	2034
349	1093	2031
350	1095	2026
351	1097	2021
352	1102	2019
353	1104	2015
354	1106	2010
355	1108	2005
356	1111	2001
357	1113	1996
358	1117	1995
359	1120	1992
360	1123	1988
361	1125	1983
362	1128	1980
363	1133	1979
364	1135	1975
365	1138	1972
366	1141	1969
367	1144	1964
368	1148	1963
369	1150	1958
370	1152	1953
371	1154	1948
372	1156	1943
373	1158	1938
374	1162	1938
375	1165	1934
376	1168	1931
377	1172	1929
378	1176	1928
379	1179	1924
380	1181	1920
381	1184	1915
382	1186	1910
383	1188	1906
384	1192	1904
385	1194	1900
386	1197	1896
387	1199	1892
388	1201	1887
389	1204	1883
390	1207	1880
391	1209	1875
392	1211	1871
393	1213	1866
394	1215	1862
395	1217	1856
396	1219	1851
397	1222	1849
398	1224	1843
399	1226	1839
400	1227	1834
401	1229	1828
402	1231	1823
403	1232	1818
404	1234	1813
405	1237	1810
406	1238	1805
407	1240	1799
408	1241	1794
409	1243	1789
410	1244	1784
411	1246	1778
412	1248	1774
413	1250	1769
414	1252	1765
415	1254	1760
416	1255	1755
417	1257	1751
418	1260	1747
419	1262	1743
420	1263	1738
421	1266	1735
422	1268	1730
423	1270	1726
424	1273	1722
425	1275	1718
426	1276	1713
427	1278	1709
428	1282	1707
429	1284	1702
430	1286	1698
431	1288	1693
432	1289	1689
433	1291	1684
434	1292	1679
435	1294	1674
436	1297	1671
437	1299	1667
438	1301	1662
439	1302	1658
440	1304	1653
441	1306	1649
442	1307	1644
443	1309	1639
444	1312	1636
445	1313	1632
446	1315	1627
447	1316	1622
448	1318	1617
449	1319	1613
450	1321	1608
451	1323	1604
452	1324	1599
453	1327	1596
454	1329	1591
455	1330	1587
456	1332	1582
457	1333	1578
458	1335	1573
459	1336	1569
460	1338	1565
461	1341	1562
462	1343	1557
463	1344	1553
464	1346	1548
465	1347	1544
466	1349	1539
467	1350	1535
468	1352	1530
469	1353	1526
470	1356	1523
471	1358	1519
472	1359	1514
473	1360	1510
474	1362	1505
475	1363	1501
476	1365	1496
477	1366	1492
478	1368	1488
479	1370	1484
480	1371	1480
481	1373	1475
482	1374	1471
483	1376	1467
484	1377	1462
485	1379	1458
486	1380	1454
487	1382	1450
488	1384	1446
489	1386	1442
490	1387	1438
491	1389	1434
492	1391	1430
493	1392	1426
494	1394	1422
495	1395	1418
496	1397	1414
497	1400	1411
498	1401	1407
499	1403	1403
500	1404	1399
501	1406	1395
502	1408	1391
503	1410	1387
504	1412	1384
505	1414	1381
506	1416	1377
507	1417	1373
508	1419	1369
509	1420	1365
510	1422	1361
511	1424	1357
512	1425	1353
513	1427	1349
514	1430	1347
515	1432	1343
516	1433	1339
517	1435	1335
518	1436	1331
519	1438	1327
520	1439	1323
521	1441	1319
522	1442	1315
523	1445	1312
524	1446	1308
525	1448	1305
526	1450	1301
527	1451	1297
528	1452	1293
529	1454	1289
530	1455	1285
531	1457	1282
532	1460	1279
533	1461	1275
534	1463	1271
535	1464	1268
536	1466	1264
537	1467	1260
538	1469	1256
539	1470	1252
540	1472	1249
541	1475	1247
542	1477	1243
543	1478	1239
544	1480	1235
545	1481	1232
546	1483	1228
547	1485	1224
548	1486	1221
549	1489	1218
550	1491	1215
551	1492	1211
552	1494	1208
553	1496	1204
554	1497	1201
555	1499	1197
556	1501	1193
557	1503	1190
558	1505	1187
559	1506	1183
560	1508	1180
561	1509	1176
562	1511	1172
563	1512	1169
564	1514	1165
565	1515	1162
566	1519	1160
567	1520	1156
568	1522	1153
569	1523	1149
570	1525	1146
571	1526	1142
572	1528	1139
573	1530	1135
574	1531	1132
575	1533	1129
576	1535	1125
577	1537	1122
578	1538	1118
579	1540	1115
580	1541	1111
581	1543	1108
582	1544	1104
583	1546	1101
584	1548	1098
585	1550	1095
586	1551	1091
587	1552	1088
588	1554	1084
589	1555	1081
590	1557	1077
591	1558	1074
592	1560	1070
593	1563	1068
594	1564	1065
595	1566	1061
596	1568	1058
597	1569	1055
598	1570	1051
599	1572	1048
600	1574	1045
601	1576	1042
602	1578	1038
603	1579	1035
604	1581	1032
605	1583	1029
606	1584	1026
607	1586	1022
608	1587	1019
609	1589	1016
610	1592	1013
611	1593	1010
612	1595	1007
613	1596	1003
614	1598	1000
615	1599	997
616	1601	993
617	1602	990
618	1604	987
619	1607	985
620	1608	981
621	1610	978
622	1612	975
623	1613	972
624	1615	969
625	1616	965
626	1618	962
627	1619	959
628	1622	956
629	1623	953
630	1625	950
631	1627	947
632	1628	944
633	1630	941
634	1631	937
635	1633	934
636	1634	931
637	1637	928
638	1638	925
639	1640	922
640	1642	919
641	1644	916
642	1646	913
643	1648	911
644	1651	909
645	1654	906
646	1656	903
647	1658	900
648	1659	897
649	1661	894
650	1662	891
651	1665	889
652	1667	886
653	1669	883
654	1670	879
655	1672	876
656	1673	873
657	1675	870
658	1676	867
659	1678	864
660	1680	862
661	1682	859
662	1684	856
663	1685	853
664	1687	850
665	1689	847
666	1691	844
667	1692	841
668	1695	839
669	1697	836
670	1699	833
671	1700	830
672	1702	827
673	1703	823
674	1705	820
675	1706	817
676	1708	814
677	1711	812
678	1712	809
679	1714	806
680	1715	803
681	1717	800
682	1718	797
683	1720	794
684	1721	791
685	1723	788
686	1726	786
687	1728	783
688	1729	780
689	1730	777
690	1732	774
691	1733	771
692	1735	768
693	1737	765
694	1738	762
695	1741	760
696	1743	757
697	1744	754
698	1746	751
699	1747	748
700	1749	746
701	1750	743
702	1752	740
703	1753	737
704	1756	734
705	1757	732
